Mode: Priority Filter (PCP > PACP > PQCP)
Range: 0 -> 200
--------------------------------------------------------
L	| Type		| Weights to Search (g0, g1)
168	| [Opt-PACP]	| (75,82) (75,86) (77,78) (77,90) (78,91) (82,93) (86,93) (90,91)
170	| [PCP]		| (76,83) (76,87) (78,79) (78,91) (79,92) (83,94) (87,94) (91,92)
172	| [Opt-PACP]	| (77,84) (77,88) (79,80) (79,92) (80,93) (84,95) (88,95) (92,93)
174	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
176	| [Opt-PACP]	| (80,83) (80,93) (83,96) (93,96)
178	| [PCP]		| (81,84) (81,94) (84,97) (94,97)
180	| [PCP]		| (81,87) (81,93) (87,99) (93,99)
182	| [Opt-PACP]	| (82,88) (82,94) (88,100) (94,100)
184	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
186	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
188	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
190	| [PQCP Only]	| (Use Relaxed Constraints: |Sum| <= 4)
192	| [Opt-PACP]	| (87,92) (87,100) (92,105) (100,105)
194	| [PCP]		| (88,93) (88,101) (93,106) (101,106)
196	| [PCP]		| (91,91) (91,105) (105,105)
198	| [Opt-PACP]	| (89,99) (91,93) (91,105) (92,92) (92,106) (93,107) (99,109) (105,107) (106,106)
200	| [PCP]		| (90,100) (92,94) (92,106) (94,108) (100,110) (106,108)

================ SUMMARY ================
1. PCP Candidates (Priority High): Use weights above
   [0, 2, 4, 8, 10, 16, 18, 20, 26, 32, 34, 36, 40, 50, 52, 58, 64, 68, 72, 74, 80, 82, 90, 98, 100, 104, 106, 116, 122, 128, 130, 136, 144, 146, 148, 160, 162, 164, 170, 178, 180, 194, 196, 200]

2. Optimal PACP Targets (PCP Impossible): Use weights above
   [6, 12, 14, 22, 24, 28, 30, 38, 42, 48, 54, 56, 60, 62, 66, 70, 76, 78, 84, 88, 92, 96, 102, 108, 114, 118, 120, 124, 126, 132, 134, 138, 142, 150, 158, 166, 168, 172, 176, 182, 192, 198]

3. PQCP Targets (Impossible List): Relax constraints
   [44, 46, 86, 94, 110, 112, 140, 152, 154, 156, 174, 184, 186, 188, 190]

4. Odd Candidates (Goal 1): Construct using Legendre/m-seq
   [1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51, 53, 55, 57, 59, 61, 63, 65, 67, 69, 71, 73, 75, 77, 79, 81, 83, 85, 87, 89, 91, 93, 95, 97, 99, 101, 103, 105, 107, 109, 111, 113, 115, 117, 119, 121, 123, 125, 127, 129, 131, 133, 135, 137, 139, 141, 143, 145, 147, 149, 151, 153, 155, 157, 159, 161, 163, 165, 167, 169, 171, 173, 175, 177, 179, 181, 183, 185, 187, 189, 191, 193, 195, 197, 199]
